Review_Title,Review_Text,Review_Location,Product,Length,Word_count,mean_word_length,score,sentiment
Perfect,"['love', 'use', 'face', 'shower', 'heat', 'give', 'light', 'scrub', 'nice']",Undisclosed,Multi-Vitamin Thermafoliant,87,18,3.888888888888889,0.7906,1
You need this,"['even', 'better', 'daili', 'microfoli', 'obsess', 'skin', 'much', 'smoother']",Undisclosed,Multi-Vitamin Thermafoliant,82,14,4.928571428571429,0.2263,1
Clean skin,"['enjoy', 'product', 'much', 'look', 'forward', 'use', 'realli', 'feel', 'great']",Undisclosed,Multi-Vitamin Thermafoliant,77,16,3.875,0.8074,1
Love This Stuff!,"['never', 'tri', 'anyth', 'like', 'love', 'appli', 'face', 'get', 'littl', 'shot', 'warm', 'feel', 'good', 'scrub', 'seem', 'gritti', 'side', 'effect', 'encount', 'posit', 'one']",Undisclosed,Multi-Vitamin Thermafoliant,234,45,4.222222222222222,0.7839,1
This exfoliates very nicely and,"['exfoli', 'nice', 'give', 'smooth', 'skin', 'irrit', 'reaction', 'skin', 'highli', 'recommend', 'buy']",Undisclosed,Multi-Vitamin Thermafoliant,157,30,4.266666666666667,0.6486,1
Seriously nice scrub!,"['love', 'use', 'wet', 'dri', 'control', 'abras', 'leav', 'face', 'soft', 'drench', 'vitamin']",Undisclosed,Multi-Vitamin Thermafoliant,121,24,4.083333333333333,0.7506,1
Absolutely love,"['absolut', 'love']",Undisclosed,Multi-Vitamin Thermafoliant,15,2,7.0,0.6369,1
I truly like the multivitamin,"['truli', 'like', 'multivitamin', 'thermafoli', 'product', 'use', 'last', '7', 'year', 'happi', 'purchas', 'directli', 'sinc', 'longer', 'avail', 'ulta', 'store']",Undisclosed,Multi-Vitamin Thermafoliant,186,32,4.84375,0.3612,1
Favorite,"['definit', 'love', 'skin', 'face', 'feel', 'better', 'use']",Undisclosed,Multi-Vitamin Thermafoliant,61,11,4.636363636363637,0.7964,1
Excelent,['excel'],Undisclosed,Multi-Vitamin Thermafoliant,8,1,8.0,0.4588,1
Love this product to exfoliate,"['love', 'product', 'exfoli', 'skin']",Undisclosed,Multi-Vitamin Thermafoliant,40,7,4.857142857142857,0.6369,1
Helped my dry winter face,"['help', 'dri', 'winter', 'face']",Undisclosed,Multi-Vitamin Thermafoliant,25,5,4.2,0.4019,1
