Review_Title,Review_Text,Verified_Buyer,Review_Date,Review_Location,Review_Upvotes,Review_Downvotes,Product,Brand,Scrape_Date
Amaze-balls :),"It feels sooo good! Especially when it warms up while massaging it on your face! Smell isn't too strong, but that kind of stuff doesn't bother me. Great for once a week, makes my skin soft, smooth, and glassy.",Yes,2 years ago,"Boston, MA",2,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Gentle on the skin,"This is the first enzyme powder that I have tried. I was worried it might be too harsh on my skin, but I was pleasantly author gentle it was on my skin. It did a great job of removing and dry, flaky skin and helped shrink my pores. My skin felt so soft after using.",No,1 year ago,"Colorado Springs, CO",0,0,Daily Microfoliant,Dermalogica,3/27/23
Buy it!,Works great for all skin types!,No,2 years ago,Richmond Va,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
I would buy again,I like to mix this in with my daily face wash,Yes,5 years ago,"Mesa, AZ",0,0,Daily Microfoliant,Dermalogica,3/27/23
Love this stuff!,Great product. Received a sample as a gift in store and have already bought it again twice since. It's one of those products that creates the same results EVERY TIME! It resurfaces my skin and leaves it in perfect condition for my cleanser and my make up. I could tell a difference in the condition of my skin within just a few days. Love it!,Yes,5 years ago,"Birmingham, Al",1,0,Daily Microfoliant,Dermalogica,3/27/23
Must have,"So I already use the daily microfoliant, I started using this once a week along with my regular skin routine and it's great. I work in a kitchen and this product makes my face feel new and smooth.",No,2 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Great product!,"Loved how this product performed. It was a nice , gentle exfoliant and provided a nice feeling after rinsing.",No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Amazing results,"I followed the instructions and tried this out everyday for about a week. I recieved this free from Influenster to try out and I loved it. It's super interesting and I have never used anything like this before. I like the fact it's a powder that then turns into a liquid consistency when put with water. This exfoliates very gently which I like and leaves your skin feeling the cleanest it has ever felt. However, I don't think my skin liked being exfoliated everyday even though it's a daily exfoliant. So i tend to use this product about every 3 days to not over dry my skin. It has a really nice smell to it aswell, not too powerful. Would definitely recommend to all skin types.",No,5 years ago,devon,0,0,Daily Superfoliant,Dermalogica,3/27/23
Clean and fresh,It's like having a cleansing mini-facial. My skin feels so clean and fresh after using the Thermafoliant. It's a quick â€œpick me upâ€ for my skin.,Yes,9 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Travel Necessity for Good Skin,"Was turned on to this product when researching how to improve make up application for textured skin. Bought a promo set during the holidays that included the Active Moist cream and I'm hooked on both. Yields the expected results of clean, smooth skin and since this is travel size, it's a plus so I don't have to compromise when on the road. I use everyday and don't have to use a separate soap cleanser and my skin is clean yet not dried out. So good I bought a backup and then a full size (elsewhere since this price point is outrageous). Highly recommend for mature skin maintenance.",No,5 years ago,"RTP, NC",0,0,Daily Microfoliant,Dermalogica,3/27/23
Super small,"For those curious, this is a .14 ounce size. That's about it a third of the travel size, which is .45 ounces and $15. So, a value of less than $5. I appreciate the gift, just wanted people to know what the actual size is. I should have just gotten the Lancôme mask online.",No,2 years ago,The Old Pueblo,84,0,Daily Microfoliant,Dermalogica,3/27/23
Love this!,I love this product! I have been looking for a daily exfoliant but a lot of other products are too harsh. This is perfect for daily use! It leaves my skin feeling soft snd clean. I love using it at the end of the day after I take my makeup off!,No,1 year ago,Los Angeles,0,0,Daily Microfoliant,Dermalogica,3/27/23
Great Cleanser!,"From the first time I used the Dermalogica Intensive Moisture Cleanser, I loved it. I have tried many different types of cleansers over the years, including others by Dermalogica, but this one is so creamy and leaves your face feeling so soft compared to other products I've tried. You don't need a lot. I did make that mistake and it took a bit to get it all rinsed off. Other than that mistake on my part it's been wonderful. I would definitely buy it and already have my mom using it (she loves it too!)",No,4 years ago,Long Beach CA,0,0,Daily Superfoliant,Dermalogica,3/27/23
"Good For Dry, Sensitive Skin","This in combo with the Intensive Moisturizer is so good for my dry, sensitive skin!",No,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Best,The best exfoliate i have ever use,No,4 years ago,CA LA,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
It's hydrating,I've used this product a few times and I haven't noticed that it's exfoliating my skin much. I do notice that it's hydrating and leaves my face feeling fresh. I'll continue using this mask especially since with the colder temperatures my face will need the extra moisture,No,2 years ago,"Riverside,Ca",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Great exfoliant!,This is packed full of scrubbies! (For lack of a better word) Love the bit of heat. I only use a couple times a weak or else my skin would likely become irritated. Smells divine.,Yes,5 years ago,"Athens, GA",1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Not a want... a NEED!,"I love the ENTIRE Dermalogica line - it's been a lifesaver for my sensitive skin. No harsh chemicals or fragrances, and you can feel the difference in skin texture only after a few uses! I love how they target specific concerns depending on what you want out of your skincare routine. This Microfoliant is gentle enough to use everyday, but still gets the job done! A definitely need on your skincare vanity!",No,1 year ago,California,0,0,Daily Microfoliant,Dermalogica,3/27/23
Have to buy the full size!,"So I got a few samples of this and I'm hooked, my face always looks like I've just had a spar treatment. It's even more effective when used on dryer skin. I'd advise to cleanse, rinse off, dry face slightly (if face it not sensitive) then apply for better results.",No,5 years ago,"London, UK",1,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love this exfoliant!,"Gentle enough for everyday use, Instantly brightens and smooths my skin.",No,6 years ago,Florida,0,0,Daily Microfoliant,Dermalogica,3/27/23
Amazing product,"This product leaves your skin looking smooth and hydrated . It also has a light scent of cucumber and bamboo. It's convenient for those on a time crunch, as it only takes 5 minutes to work it magic. I received this as complimentary product.",No,2 years ago,Los Angeles,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Love this mask,I just used my fingers and rubbed mask on clean damp skin. Left on for 5 mins and then wet fingers and rubbed it into my skin and then rinsed off. My skin was left feeling so soft and smooth and looking great. The texture of the mask has little spheres and it smells great. I would definitely recommend giving it a try!,No,2 years ago,Iowa,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Gentle physical exfoliant,"I am a huge fan of gentle physical exfoliation. No crushed walnut shells here! This rice based powder left my skin feeling silky smooth, clean, and refreshed. It combines with water to create a gebtle exfoliating paste, which my winter skin desperately needed. Highly recommend!",No,1 year ago,Houston TX,0,0,Daily Microfoliant,Dermalogica,3/27/23
Gets the skin clean,Good stuff I really liked the product thanks I don't know what else to say,No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Like washing your face with fireplace ashes,"Pros: Like Dermalogica's Daily Microfoliant (a fave!) this scrub is gentle enough to use everyday. The grains dissolve easily and don't get under my contacts. It also doesn't dry out my skin - very important in winter. Cons: A CHARCOAL MESS! When washing at the sink, the black water stains everything. Use an old, dark towel. You can't use this scrub in the shower because the humidity makes it clump and clog the opening. I didn't find that it cleared my pores better than the original, nor better than other charcoal/pore cleansers. Luckily I bought this during an Ulta 21 Days Sale, so I paid half the price. Even at 50% off, I wouldn't purchase this again.",No,1 month ago,"Marietta, GA",0,1,Daily Superfoliant,Dermalogica,3/27/23
Love!,"I love this microfoliant! I have sensitive skin, so I need something gentle and this does the trick. It says you can use daily, and I have used it daily in the past with no issues. I'm currently using it once or twice a week. It has been particularly helpful in reducing pore visibility/congestion on my nose and chin area. I also use it as a lip exfoliant and it works bette than anything else I've tried. LOVE LOVE LOVE IT!",Yes,3 years ago,Montana,0,0,Daily Microfoliant,Dermalogica,3/27/23
Skin smooth and clean after this,"So gentle exfoliate and clean skins, without any abrasive little pieces compared to scrubs. No feeling of tightness after application. Effect is perfect- hydration and clean. Love this packaging also. Definitely recommend and will buy.",No,2 years ago,"Las Vegas, NV",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
It's hydrating,I've used this product a few times and I haven't noticed that it's exfoliating my skin much. I do notice that it's hydrating and leaves my face feeling fresh. I'll continue using this mask especially since with the colder temperatures my face will need the extra moisture,No,2 years ago,"Riverside,Ca",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
